accuracy,loss,val_accuracy,val_loss
0.8467752933502197,0.6194829940795898,0.8574656248092651,0.5399248003959656
0.8682219386100769,0.5183911919593811,0.8754706382751465,0.4743804931640625
0.8784403800964355,0.4801517724990845,0.8806736469268799,0.4517190158367157
0.8832842707633972,0.45991185307502747,0.8820428848266602,0.4501365125179291
0.8879227638244629,0.4407726228237152,0.8908742666244507,0.4194943606853485
0.8924585580825806,0.4267468750476837,0.8914903998374939,0.4050208032131195
0.896686315536499,0.4168357253074646,0.8985418081283569,0.4144439995288849
0.9000924229621887,0.40764597058296204,0.9035394191741943,0.39750075340270996
0.9032589197158813,0.40172910690307617,0.9018963575363159,0.4122137129306793
0.9053642153739929,0.3959231972694397,0.9054563045501709,0.3878669738769531
0.907692015171051,0.39278072118759155,0.9012117385864258,0.41627806425094604
0.9084280729293823,0.39106303453445435,0.9155884385108948,0.36731255054473877
0.9115089774131775,0.3839189112186432,0.905387818813324,0.40592989325523376
0.9099171757698059,0.3850373327732086,0.8992264270782471,0.4288952350616455
0.9126386642456055,0.3808863162994385,0.9005956053733826,0.4469304084777832
0.9147781729698181,0.37708428502082825,0.9071677923202515,0.40302786231040955
0.9148979783058167,0.37916719913482666,0.908742368221283,0.3923582136631012
